作品名称,年份,剧本,画面,音乐,总评,评级,个人差,BGM,Δ,初次完成日期
機動警察パトレイバー 2 the Movie,1993,97,85,100,93.9,S,1.4,8.8,+0.6,2022-11-20
新世紀エヴァンゲリオン劇場版 Air/まごころを、君に,1997,88,100,100,93.4,S,2.2,8.9,+0.4,2016-01-08
攻殻機動隊 S.A.C. 2nd GIG,2004,98,79,100,92.6,S,0.5,9.2,+0.1,2020-04-11
るろうに剣心 -明治剣客浪漫譚- 追憶編,1999,90,92,99,92.0,S,1.1,8.9,+0.3,2022-11-09
攻殻機動隊 STAND ALONE COMPLEX,2002,97,78,100,91.8,S,0.6,9.1,+0.1,2020-03-28
劇場版 魔法少女まどか☆マギカ [新編] 叛逆の物語,2013,85,100,100,91.8,S,2.7,8.6,+0.6,2020-07-23
少女革命ウテナ,1997,95,81,98,91.3,S,1.7,8.4,+0.7,2022-10-23
NANA-ナナ-,2006,100,68,95,89.7,S,1.6,8.1,+0.9,2023-07-25
新世紀エヴァンゲリオン,1995,88,94,100,91.6,S-,2.8,8.9,+0.3,2016-01-08
四畳半神話大系,2010,84,99,96,90.3,S-,2.7,8.6,+0.4,2023-06-29
3月のライオン,2016,83,98,99,89.9,S-,0.5,8.3,+0.7,2025-06-18
魔法少女まどか☆マギカ,2011,84,96,98,89.7,S-,1.6,8.6,+0.4,2020-07-22
劇場版 少女☆歌劇 Revue Starlight,2021,81,98,100,89.0,A+,3.6,8.4,+0.5,2023-04-10
イノセンス,2004,82,96,100,88.9,A+,1.4,8.8,+0.1,2020-06-25
輪るピングドラム,2011,87,92,85,88.2,A+,2.0,8.0,+0.8,2022-11-24
進撃の巨人 Season 3 Part.2,2019,93,74,98,88.1,A+,0.7,8.6,+0.2,2023-08-22
ピンポン THE ANIMATION,2014,90,81,92,87.6,A+,1.7,8.6,+0.2,2021-08-15
涼宮ハルヒの消失,2010,82,95,93,87.6,A+,2.0,8.7,+0.1,2023-11-10
進撃の巨人 The Final Season 完結編 後編,2023,90,79,95,87.5,A+,2.9,7.5,+1.2,2023-11-05
千と千尋の神隠し,2001,83,87,99,86.6,A+,1.1,8.6,+0.1,2023-08-06
千年女優,2001,84,87,95,86.6,A+,1.2,8.7,-0.0,2022-10-28
ヱヴァンゲリヲン新劇場版:破,2009,79,94,100,86.7,A,1.1,8.5,+0.2,2021-08-22
進撃の巨人 The Final Season Part.2,2022,89,76,98,86.5,A,2.1,7.6,+1.0,2023-09-02
MEMORIES,1995,82,87,97,85.8,A,2.5,8.1,+0.5,2023-09-07
BanG Dream! Ave Mujica,2025,86,83,87,85.3,A,4.4,4.1,+4.4,2025-03-27
COWBOY BEBOP,1998,85,78,100,85.2,A,1.4,9.1,-0.6,2020-07-27
PERFECT BLUE,1998,93,70,83,84.6,A,1.8,8.7,-0.2,2021-11-13
進撃の巨人,2013,85,76,96,84.0,A,0.9,8.0,+0.4,2023-08-12
Serial Experiments Lain,1998,85,82,94,85.5,A-,4.2,7.9,+0.6,2018-06-25
BanG Dream! It's MyGO!!!!!,2023,83,84,92,84.7,A-,3.8,8.1,+0.4,2023-10-02
日常,2011,78,89,89,83.0,A-,3.1,8.5,-0.2,2023-10-19
夜は短し歩けよ乙女,2017,72,93,96,81.9,A-,3.2,8.1,+0.1,2023-06-30
